portfolioid,datetime,annualreturns,dailychange,gainloss
p042,2024-12-15 11:46:00,-0.64,1.28,-1128
p043,2024-01-05 13:39:00,9.06,-0.58,812
p043,2024-02-07 02:57:00,-2.95,-3.6,-1589
p043,2024-03-04 18:46:00,2.86,-1.48,-428
p043,2024-04-14 10:50:00,-2.14,-2.52,-1428
p043,2024-05-21 02:15:00,6.33,1.01,266
p043,2024-06-24 19:18:00,10.95,4.41,1190
p043,2024-07-01 21:56:00,1.18,-2.95,-765
p043,2024-08-20 16:12:00,10.32,-1.08,1063
p043,2024-09-21 01:50:00,13.39,2.94,1677
p043,2024-10-08 15:24:00,-2.69,-2.59,-1539
p043,2024-11-21 19:04:00,5.81,3.89,163
p043,2024-12-01 11:59:00,1.48,-3.68,-704
p044,2024-01-28 18:26:00,2.48,0.46,-504
p044,2024-02-06 15:49:00,-3.51,-4.83,-1702
p044,2024-03-03 00:16:00,-0.58,-4.6,-1117
p044,2024-04-02 12:32:00,0.87,1.29,-827
p044,2024-05-17 13:27:00,9.37,-0.98,874
p044,2024-06-21 17:34:00,7.62,-3.47,523
p044,2024-07-03 09:05:00,5.47,4.21,94
p044,2024-08-26 04:34:00,1.69,-1.09,-662
p044,2024-09-21 20:43:00,8.17,-4.34,634
p044,2024-10-23 13:46:00,14.52,3.46,1905
p044,2024-11-02 07:05:00,13.93,-0.66,1787
p044,2024-12-15 19:38:00,-3.88,-1.91,-1775
p045,2024-01-24 21:47:00,-1.41,-3.81,-1281
p045,2024-02-23 04:44:00,-4.77,-3.36,-1954
p045,2024-03-12 16:33:00,11.04,3.23,1207
p045,2024-04-09 05:23:00,-2.4,2.5,-1481
p045,2024-05-28 08:46:00,13.15,-3.82,1630
p045,2024-06-01 10:51:00,3.79,-2.28,-242
p045,2024-07-03 08:45:00,14.96,0.77,1993
p045,2024-08-03 15:29:00,5.46,-1.4,92
p045,2024-09-16 18:10:00,2.53,-3.43,-494
p045,2024-10-25 03:57:00,6.75,1.74,350
p045,2024-11-04 07:47:00,5.42,-4.97,84
p045,2024-12-28 00:15:00,-4.06,-0.28,-1812
p046,2024-01-13 04:11:00,14.07,4.6,1814
p046,2024-02-02 17:51:00,13.71,2.14,1743
p046,2024-03-21 13:14:00,1.59,-2.52,-682
p046,2024-04-24 10:17:00,11.91,-4.22,1383
p046,2024-05-12 03:32:00,8.79,4.02,757
p046,2024-06-06 07:51:00,5.56,4.81,112
p046,2024-07-13 02:56:00,4.53,3.66,-95
p046,2024-08-25 09:20:00,-3.24,0.53,-1647
p046,2024-09-01 11:12:00,0.97,0.64,-806
p046,2024-10-10 23:39:00,-0.04,-0.36,-1007
p046,2024-11-19 15:49:00,10.89,-3.05,1178
p046,2024-12-18 07:09:00,-4.87,4.32,-1974
p047,2024-01-01 07:34:00,2.09,1.36,-582
p047,2024-02-23 00:21:00,-4.97,2.59,-1995
p047,2024-03-13 23:46:00,1.29,-3.96,-741
p047,2024-04-17 07:26:00,5.08,4.61,15
p047,2024-05-05 22:17:00,-3.09,-4.56,-1619
p047,2024-06-08 16:26:00,9.35,3.96,870
p047,2024-07-15 23:05:00,6.89,-4.04,378
p047,2024-08-05 20:52:00,3.07,-4.25,-385
p047,2024-09-19 01:27:00,8.57,4.64,713
p047,2024-10-08 09:16:00,12.43,-1.85,1485
p047,2024-11-26 12:44:00,12.04,2.35,1407
p047,2024-12-11 14:17:00,-0.22,-4.25,-1044
p048,2024-01-07 04:49:00,10.77,0.85,1154
p048,2024-02-05 03:10:00,4.21,-0.34,-159
p048,2024-03-14 03:34:00,2.34,4.65,-533
p048,2024-04-07 14:19:00,4.48,-2.35,-103
p048,2024-05-04 02:10:00,11.54,1.86,1307
p048,2024-06-27 22:44:00,7.36,-4.6,471
p048,2024-07-27 10:09:00,-3.13,2.11,-1627
p048,2024-08-12 12:32:00,-4.0,1.77,-1800
p048,2024-09-09 05:01:00,14.5,-0.96,1899
p048,2024-10-15 17:47:00,6.27,-2.5,253
p048,2024-11-15 03:51:00,11.25,-3.6,1251
p048,2024-12-01 01:53:00,10.99,4.83,1198
p049,2024-01-05 06:52:00,3.2,-1.28,-360
p049,2024-02-21 20:05:00,6.92,0.86,385
p049,2024-03-27 02:01:00,-3.68,-3.02,-1736
p049,2024-04-21 14:51:00,-2.36,-4.08,-1473
p049,2024-05-28 10:07:00,-4.13,4.42,-1826
p049,2024-06-02 05:59:00,6.75,-0.67,350
p049,2024-07-24 12:31:00,-4.4,-1.17,-1880
p049,2024-08-14 05:22:00,-0.61,4.08,-1121
p049,2024-09-09 08:28:00,13.09,-3.51,1618
p049,2024-10-20 19:39:00,0.03,1.47,-994
p049,2024-11-16 13:56:00,6.27,-0.21,255
p049,2024-12-03 08:24:00,-2.19,-0.81,-1438
p050,2024-01-21 16:15:00,7.92,4.94,583
p050,2024-02-18 00:24:00,11.01,2.13,1202
p050,2024-03-16 17:50:00,4.93,-1.56,-15
p050,2024-04-19 16:20:00,2.95,-2.3,-410
p050,2024-05-01 10:38:00,-0.51,-4.71,-1103
p050,2024-06-26 08:03:00,11.56,4.92,1312
p050,2024-07-17 11:49:00,6.96,5.0,392
p050,2024-08-06 03:15:00,8.45,-2.59,690
p050,2024-09-18 23:03:00,10.64,4.96,1129
p050,2024-10-08 18:54:00,11.33,-1.12,1266
p050,2024-11-27 05:11:00,-0.16,0.93,-1032
p050,2024-12-26 23:44:00,2.35,4.14,-531
p051,2024-01-01 22:44:00,2.2,4.48,-560
p051,2024-02-19 04:36:00,14.42,-3.12,1884
p051,2024-03-26 15:34:00,1.32,-3.24,-735
p051,2024-04-02 02:03:00,-0.24,1.02,-1048
p051,2024-05-01 16:30:00,-4.99,-1.68,-1998
p051,2024-06-20 06:51:00,-2.33,-1.59,-1466
p051,2024-07-06 10:03:00,-4.55,-3.52,-1911
p051,2024-08-23 04:49:00,-2.73,3.46,-1546
p051,2024-09-28 11:04:00,2.65,2.05,-470
p051,2024-10-22 12:37:00,-2.94,-1.63,-1587
p051,2024-11-11 04:10:00,10.0,4.49,999
p051,2024-12-26 20:31:00,8.29,-1.83,659
p052,2024-01-23 17:44:00,13.21,4.29,1643
p052,2024-02-26 11:14:00,8.63,0.89,726
p052,2024-03-06 12:19:00,10.03,1.88,1006
p052,2024-04-05 05:46:00,-4.96,4.49,-1993
p052,2024-05-19 12:54:00,10.79,4.65,1157
p052,2024-06-02 05:38:00,1.51,4.21,-697
p052,2024-07-20 07:40:00,6.58,-3.96,316
p052,2024-08-16 04:21:00,10.26,-4.22,1052
p052,2024-09-12 10:10:00,8.03,3.85,605
p052,2024-10-03 22:42:00,8.09,2.29,617
p052,2024-11-11 14:00:00,0.43,-2.9,-914
p052,2024-12-23 02:22:00,0.25,2.87,-949
p053,2024-01-24 00:03:00,2.9,-0.62,-420
p053,2024-02-14 05:56:00,3.47,-0.07,-305
p053,2024-03-13 11:34:00,2.68,-3.99,-463
p053,2024-04-16 18:41:00,10.53,1.87,1105
p053,2024-05-06 14:04:00,11.37,3.46,1273
p053,2024-06-10 00:20:00,0.34,4.52,-931
p053,2024-07-03 10:10:00,13.18,-1.25,1636
p053,2024-08-24 02:35:00,14.29,3.98,1857
p053,2024-09-03 10:38:00,7.56,3.93,513
p053,2024-10-23 00:27:00,14.3,1.54,1860
p053,2024-11-20 13:10:00,-3.91,-3.99,-1781
p053,2024-12-07 06:26:00,9.28,0.54,855
p054,2024-01-24 17:16:00,8.53,-2.18,705
p054,2024-02-08 03:03:00,3.04,0.72,-391
p054,2024-03-27 15:09:00,-3.88,-1.39,-1777
p054,2024-04-14 02:18:00,11.87,1.62,1374
p054,2024-05-20 15:12:00,-3.01,-4.74,-1603
p054,2024-06-06 20:18:00,-3.33,-0.26,-1665
p054,2024-07-04 09:50:00,3.14,-0.29,-372
p054,2024-08-22 08:05:00,8.14,0.44,629
p054,2024-09-06 11:56:00,2.81,-1.31,-438
p054,2024-10-15 01:16:00,4.0,-0.35,-199
p054,2024-11-08 08:36:00,-3.74,-3.49,-1748
p054,2024-12-23 21:06:00,-3.25,1.68,-1649
p055,2024-01-26 17:26:00,14.88,2.56,1976
p055,2024-02-08 17:03:00,12.21,-1.13,1443
p055,2024-03-17 13:34:00,9.07,3.67,814
p055,2024-04-16 18:56:00,-0.17,-0.24,-1035
p055,2024-05-03 12:57:00,12.48,2.14,1497
p055,2024-06-17 18:57:00,5.58,3.0,116
p055,2024-07-22 19:09:00,-2.54,4.49,-1508
p055,2024-08-15 05:10:00,14.91,-2.88,1981
p055,2024-09-07 04:02:00,3.67,-4.22,-266
p055,2024-10-22 13:12:00,11.85,1.27,1369
p055,2024-11-27 19:16:00,1.54,4.11,-691
p055,2024-12-26 02:05:00,2.95,0.56,-411
p056,2024-01-18 10:54:00,0.66,0.2,-869
p056,2024-02-28 00:50:00,9.34,1.23,868
p056,2024-03-17 13:07:00,3.48,-3.5,-303
p056,2024-04-19 18:37:00,10.53,4.65,1106
p056,2024-05-04 03:36:00,10.96,-3.99,1193
p056,2024-06-10 17:56:00,2.04,3.78,-592
p056,2024-07-09 12:41:00,4.94,0.72,-12
p056,2024-08-16 01:11:00,0.64,-0.97,-872
p056,2024-09-20 19:43:00,9.21,-0.98,841
p056,2024-10-13 10:44:00,-0.13,-4.51,-1027
p056,2024-11-16 08:57:00,2.62,-4.8,-475
p056,2024-12-27 09:19:00,0.74,3.43,-852
p057,2024-01-28 22:43:00,-2.99,4.72,-1598
p057,2024-02-08 04:19:00,14.95,2.44,1990
p057,2024-03-25 10:17:00,9.92,-0.83,985
p057,2024-04-21 02:12:00,4.04,-2.89,-191
p057,2024-05-27 13:47:00,4.92,2.59,-16
p057,2024-06-28 11:52:00,-3.85,0.15,-1770
p057,2024-07-06 02:19:00,9.53,0.07,906
p057,2024-08-05 16:56:00,6.65,-4.71,329
p057,2024-09-07 06:53:00,-3.82,-2.51,-1764
p057,2024-10-15 01:58:00,2.38,2.05,-524
p057,2024-11-09 11:52:00,4.51,0.05,-99
p057,2024-12-21 03:43:00,-4.38,-2.58,-1875
p058,2024-01-16 19:28:00,-1.37,4.61,-1273
p058,2024-02-16 18:35:00,2.16,-1.56,-568
p058,2024-03-27 08:47:00,12.02,1.89,1403
p058,2024-04-10 00:24:00,-3.98,-3.37,-1797
p058,2024-05-19 06:54:00,-0.47,1.47,-1094
p058,2024-06-22 06:17:00,8.34,-0.9,668
p058,2024-07-01 21:00:00,4.71,4.12,-59
p058,2024-08-21 05:38:00,11.4,-4.92,1280
p058,2024-09-09 19:51:00,14.31,-1.95,1862
p058,2024-10-23 20:17:00,3.68,3.95,-265
p058,2024-11-28 11:29:00,0.16,-2.82,-968
p058,2024-12-10 21:33:00,11.88,1.24,1376
p059,2024-01-19 03:00:00,5.48,4.99,95
p059,2024-02-27 11:35:00,8.25,0.94,651
p059,2024-03-10 09:43:00,-2.79,-0.18,-1558
p059,2024-04-11 08:40:00,1.65,3.61,-669
p059,2024-05-09 20:45:00,14.5,3.92,1900
p059,2024-06-10 06:09:00,5.59,2.65,118
p059,2024-07-02 19:25:00,8.53,-1.8,705
p059,2024-08-05 23:01:00,8.42,-0.03,684
p059,2024-09-10 08:58:00,3.57,-0.95,-286
p059,2024-10-24 01:37:00,9.5,4.95,900
p059,2024-11-27 06:21:00,9.88,2.13,975
p059,2024-12-22 17:40:00,11.07,-0.24,1214
p060,2024-01-22 11:32:00,1.15,3.45,-771
p060,2024-02-27 21:56:00,6.43,-3.19,286
p060,2024-03-04 15:08:00,10.17,-2.41,1034
p060,2024-04-26 17:48:00,13.69,-3.17,1738
p060,2024-05-22 10:41:00,-3.17,-2.78,-1635
p060,2024-06-08 23:55:00,1.28,-0.8,-743
p060,2024-07-11 11:16:00,6.99,-2.06,398
p060,2024-08-28 03:30:00,-3.91,3.66,-1781
p060,2024-09-19 18:39:00,-3.54,-0.28,-1709
p060,2024-10-07 16:07:00,12.77,1.81,1553
p060,2024-11-17 09:26:00,-3.9,3.71,-1779
p060,2024-12-05 04:12:00,2.02,-0.91,-597
p061,2024-01-19 14:09:00,1.47,3.62,-705
p061,2024-02-06 02:31:00,1.81,1.31,-638
p061,2024-03-06 10:40:00,-3.81,-4.95,-1763
p061,2024-04-09 06:48:00,10.84,-3.31,1168
p061,2024-05-25 05:31:00,11.08,2.64,1216
p061,2024-06-03 04:39:00,3.88,1.33,-224
p061,2024-07-13 13:30:00,2.85,-4.95,-430
p061,2024-08-18 06:46:00,2.64,4.5,-472
p061,2024-09-11 16:12:00,-4.63,1.77,-1927
p061,2024-10-21 23:15:00,-0.37,1.94,-1074
p061,2024-11-12 09:08:00,-2.9,-1.16,-1580
p061,2024-12-19 09:10:00,-3.67,3.24,-1733
p062,2024-01-10 09:29:00,9.9,0.2,981
p062,2024-02-17 10:27:00,13.18,1.87,1637
p062,2024-03-05 10:57:00,5.04,-1.41,7
p062,2024-04-07 05:58:00,13.8,3.12,1760
p062,2024-05-01 07:14:00,9.89,4.85,978
p062,2024-06-07 23:01:00,7.07,0.05,415
p062,2024-07-04 11:45:00,8.32,2.92,664
p062,2024-08-13 20:16:00,10.79,0.35,1159
p062,2024-09-02 19:03:00,8.55,-3.92,711
p062,2024-10-27 00:03:00,9.12,-3.84,825
p062,2024-11-15 12:07:00,6.21,-2.47,241
p062,2024-12-23 04:13:00,9.23,1.86,847
p063,2024-01-01 09:26:00,8.55,-3.99,710
p063,2024-02-17 08:39:00,7.4,2.01,480
p063,2024-03-14 03:32:00,9.72,1.18,944
p063,2024-04-10 03:50:00,-2.83,-0.02,-1565
p063,2024-05-20 06:49:00,0.38,3.31,-923
p063,2024-06-07 11:45:00,3.39,-2.05,-322
p063,2024-07-02 17:31:00,13.64,-2.92,1728
p063,2024-08-16 10:15:00,-4.95,-4.87,-1989
p063,2024-09-03 03:53:00,6.75,1.69,351
p063,2024-10-05 02:49:00,5.48,-4.25,95
p063,2024-11-24 03:57:00,0.24,1.44,-952
p063,2024-12-15 09:16:00,4.51,-4.5,-99
p064,2024-01-27 05:55:00,-4.2,3.52,-1839
p064,2024-02-12 21:20:00,3.72,2.39,-256
p064,2024-03-04 01:00:00,12.45,-3.62,1489
p064,2024-04-21 05:21:00,2.32,3.95,-536
p064,2024-05-20 08:56:00,10.01,-4.07,1002
p064,2024-06-27 10:11:00,-2.67,-0.99,-1534
p064,2024-07-15 08:53:00,2.89,1.9,-421
p064,2024-08-16 13:41:00,13.14,2.97,1629
p064,2024-09-04 04:44:00,9.88,-4.41,975
p064,2024-10-28 05:06:00,3.52,4.11,-296
p064,2024-11-16 18:43:00,3.97,-3.19,-206
p064,2024-12-13 11:39:00,-4.41,3.63,-1882
p065,2024-01-27 23:57:00,-2.32,-0.17,-1465
p065,2024-02-16 03:56:00,3.42,-0.59,-316
p065,2024-03-03 08:41:00,1.43,-4.88,-713
p065,2024-04-28 21:33:00,10.71,2.44,1143
p065,2024-05-24 18:14:00,14.57,1.7,1914
p065,2024-06-11 16:33:00,9.09,2.01,819
p065,2024-07-04 13:42:00,9.88,-2.51,976
p065,2024-08-12 21:43:00,8.13,-1.15,627
p065,2024-09-27 17:57:00,7.55,-4.45,510
p065,2024-10-21 05:32:00,12.38,-0.31,1476
p065,2024-11-16 05:04:00,10.38,-0.08,1077
p065,2024-12-08 10:17:00,-3.97,0.07,-1794
p066,2024-01-18 20:24:00,3.26,3.17,-349
p066,2024-02-03 14:28:00,11.41,0.73,1281
p066,2024-03-03 15:28:00,1.47,-3.81,-706
p066,2024-04-16 23:41:00,-4.64,-3.97,-1928
p066,2024-05-14 01:35:00,6.25,-5.0,249
p066,2024-06-03 19:39:00,8.06,-1.95,611
p066,2024-07-17 17:13:00,8.41,1.71,681
p066,2024-08-11 11:52:00,-3.89,3.17,-1778
p066,2024-09-28 14:21:00,6.47,2.67,294
p066,2024-10-20 15:45:00,8.45,-1.37,691
p066,2024-11-15 03:06:00,10.55,1.59,1110
p066,2024-12-01 10:22:00,12.0,1.34,1399
p067,2024-01-26 09:35:00,5.69,-1.26,138
p067,2024-02-04 01:57:00,-1.64,-0.08,-1328
p067,2024-03-27 22:47:00,9.78,-0.91,955
p067,2024-04-09 19:12:00,-1.16,-3.79,-1232
p067,2024-05-28 12:13:00,4.36,3.25,-128
p067,2024-06-07 22:21:00,-2.79,2.57,-1559
p067,2024-07-02 20:53:00,8.77,0.89,753
p067,2024-08-25 14:29:00,8.48,0.89,697
p067,2024-09-17 04:31:00,-4.92,0.3,-1983
p067,2024-10-02 17:59:00,3.86,3.39,-228
p067,2024-11-16 16:49:00,13.87,4.1,1773
p067,2024-12-23 18:11:00,9.96,3.15,992
p068,2024-01-04 12:42:00,7.29,1.06,459
p068,2024-02-11 16:56:00,2.88,-0.81,-425
p068,2024-03-20 22:48:00,0.08,-2.26,-984
p068,2024-04-11 09:28:00,11.48,-3.67,1296
p068,2024-05-14 19:44:00,13.15,2.48,1630
p068,2024-06-10 22:35:00,12.62,-1.86,1525
p068,2024-07-24 17:40:00,-0.55,-2.99,-1110
p068,2024-08-20 22:18:00,9.06,-1.55,812
p068,2024-09-22 04:45:00,8.31,4.75,662
p068,2024-10-06 16:34:00,9.21,1.37,843
p068,2024-11-23 03:48:00,2.21,0.62,-558
p068,2024-12-19 18:42:00,9.54,-0.83,908
p069,2024-01-24 17:18:00,12.97,3.47,1594
p069,2024-02-26 00:33:00,-2.82,-4.75,-1564
p069,2024-03-05 01:42:00,-3.84,-3.0,-1769
p069,2024-04-25 05:18:00,8.99,-2.49,799
p069,2024-05-27 01:44:00,11.06,-2.05,1212
p069,2024-06-25 17:02:00,2.35,3.14,-531
p069,2024-07-04 19:55:00,8.83,2.39,766
p069,2024-08-28 07:47:00,8.25,0.61,650
p069,2024-09-08 16:50:00,11.31,2.99,1263
p069,2024-10-10 22:42:00,-4.04,4.26,-1808
p069,2024-11-13 13:50:00,14.98,1.85,1996
p069,2024-12-18 01:00:00,10.23,-2.49,1046
p070,2024-01-20 14:53:00,-0.38,4.11,-1077
p070,2024-02-23 22:41:00,2.53,2.55,-494
p070,2024-03-18 23:38:00,-0.98,2.76,-1196
p070,2024-04-07 09:28:00,-1.37,4.83,-1274
p070,2024-05-03 05:11:00,10.05,0.14,1010
p070,2024-06-13 01:27:00,0.71,0.57,-857
p070,2024-07-05 05:37:00,12.32,-2.45,1465
p070,2024-08-11 14:45:00,14.2,-3.45,1839
p070,2024-09-05 10:38:00,-3.96,2.74,-1792
p070,2024-10-21 19:53:00,8.55,-1.99,711
p070,2024-11-26 18:35:00,2.33,-4.27,-534
p070,2024-12-23 10:33:00,-0.5,4.57,-1100
p071,2024-01-17 02:50:00,5.34,-3.41,69
p071,2024-02-18 17:25:00,-3.12,-1.51,-1624
p071,2024-03-07 21:21:00,1.78,-1.39,-644
p071,2024-04-07 19:33:00,4.72,4.97,-55
p071,2024-05-27 20:00:00,-2.66,1.69,-1531
p071,2024-06-15 07:57:00,8.15,1.14,630
p071,2024-07-20 07:02:00,8.97,3.86,795
p071,2024-08-13 03:24:00,0.25,0.4,-950
p071,2024-09-10 00:58:00,5.59,3.22,117
p071,2024-10-12 16:51:00,5.42,-0.54,83
p071,2024-11-02 09:57:00,8.34,-3.07,668
p071,2024-12-17 02:06:00,-1.57,4.72,-1315
p072,2024-01-25 17:34:00,-4.85,1.27,-1970
p072,2024-02-07 21:40:00,10.84,-2.87,1168
p072,2024-03-22 13:53:00,-2.88,-2.94,-1575
p072,2024-04-27 22:56:00,14.99,2.41,1998
p072,2024-05-14 20:52:00,14.25,-4.28,1849
p072,2024-06-22 04:01:00,4.4,2.17,-120
p072,2024-07-02 02:04:00,-3.89,-3.22,-1778
p072,2024-08-09 17:04:00,6.78,3.22,355
p072,2024-09-09 13:24:00,4.23,1.3,-153
p072,2024-10-14 10:01:00,2.97,1.73,-405
p072,2024-11-18 00:41:00,9.75,1.18,950
p072,2024-12-25 23:37:00,-4.07,2.01,-1814
p073,2024-01-03 11:59:00,5.3,-3.94,59
p073,2024-02-26 21:19:00,7.42,-4.13,484
p073,2024-03-25 14:24:00,3.09,3.22,-382
p073,2024-04-01 15:10:00,5.93,-2.8,185
p073,2024-05-24 12:50:00,11.33,3.49,1266
p073,2024-06-10 20:09:00,1.1,1.77,-780
p073,2024-07-26 23:41:00,2.64,4.57,-472
p073,2024-08-01 17:55:00,6.37,-3.59,273
p073,2024-09-02 00:36:00,7.21,-1.06,443
p073,2024-10-18 02:19:00,-0.7,2.48,-1140
p073,2024-11-24 11:13:00,3.45,4.06,-310
p073,2024-12-28 16:09:00,-1.71,-3.16,-1341
p074,2024-01-20 08:12:00,-2.66,-3.19,-1531
p074,2024-02-26 18:54:00,-3.89,3.51,-1778
p074,2024-03-18 14:41:00,6.25,-4.27,251
p074,2024-04-22 02:16:00,-2.99,-3.03,-1598
p074,2024-05-19 15:21:00,2.31,-3.72,-538
p074,2024-06-21 07:06:00,0.83,1.2,-833
p074,2024-07-07 10:31:00,4.22,-1.72,-155
p074,2024-08-22 09:44:00,6.96,-3.48,392
p074,2024-09-19 11:51:00,1.47,4.59,-705
p074,2024-10-06 00:20:00,0.04,2.86,-992
p074,2024-11-23 23:41:00,3.93,-2.23,-214
p074,2024-12-12 04:43:00,10.01,-1.68,1002
p075,2024-01-16 14:28:00,2.35,2.75,-531
p075,2024-02-16 17:06:00,-1.41,1.46,-1281
p075,2024-03-03 08:54:00,11.92,-3.6,1385
p075,2024-04-18 06:16:00,10.02,3.86,1004
p075,2024-05-03 23:04:00,13.27,-4.81,1654
p075,2024-06-17 20:01:00,11.64,0.82,1328
p075,2024-07-13 18:13:00,13.56,-4.63,1712
p075,2024-08-09 17:57:00,6.05,-0.28,210
p075,2024-09-25 04:23:00,3.04,-2.77,-393
p075,2024-10-25 18:46:00,12.55,-2.09,1510
p075,2024-11-15 16:32:00,-3.15,-1.03,-1630
p075,2024-12-17 00:42:00,-0.11,3.48,-1022
p076,2024-01-26 19:43:00,-1.6,2.57,-1321
p076,2024-02-05 14:10:00,-1.33,0.66,-1267
p076,2024-03-19 21:55:00,14.82,-3.54,1963
p076,2024-04-24 15:22:00,-4.17,-2.81,-1835
p076,2024-05-16 07:04:00,0.41,-1.31,-918
p076,2024-06-02 21:13:00,5.61,4.08,121
p076,2024-07-12 12:30:00,13.79,-0.45,1759
p076,2024-08-02 01:41:00,1.63,-3.97,-673
p076,2024-09-17 20:53:00,0.6,3.35,-880
p076,2024-10-09 18:34:00,6.68,-3.26,335
p076,2024-11-21 12:23:00,7.04,1.53,407
p076,2024-12-27 02:33:00,0.15,-1.24,-970
p077,2024-01-08 16:25:00,2.23,3.17,-555
p077,2024-02-12 15:50:00,4.87,3.87,-26
p077,2024-03-01 16:56:00,-2.16,-0.6,-1431
p077,2024-04-08 02:32:00,8.17,-2.19,635
p077,2024-05-05 05:10:00,2.42,1.02,-517
p077,2024-06-27 03:42:00,-0.29,-0.85,-1057
p077,2024-07-11 23:07:00,4.86,1.75,-28
p077,2024-08-16 06:37:00,-1.7,1.47,-1340
p077,2024-09-14 00:15:00,-4.12,-3.72,-1824
p077,2024-10-19 05:08:00,7.89,0.13,578
p077,2024-11-19 04:03:00,-1.59,-2.42,-1319
p077,2024-12-06 16:25:00,7.27,4.69,454
p078,2024-01-21 00:56:00,9.73,2.28,947
p078,2024-02-27 09:05:00,-0.56,-0.51,-1113
p078,2024-03-16 15:10:00,-0.51,3.3,-1102
p078,2024-04-20 04:50:00,6.93,3.2,386
p078,2024-05-06 19:42:00,5.46,-2.35,92
p078,2024-06-24 21:21:00,13.89,-0.47,1777
p078,2024-07-19 02:14:00,2.74,-1.15,-451
p078,2024-08-04 00:12:00,5.71,3.6,141
p078,2024-09-17 21:26:00,11.92,-3.5,1385
p078,2024-10-04 05:30:00,13.46,1.15,1692
p078,2024-11-02 17:32:00,10.4,-3.82,1081
p078,2024-12-16 21:08:00,13.47,1.03,1694
p079,2024-01-27 00:57:00,14.2,2.75,1840
p079,2024-02-21 13:33:00,3.62,-1.3,-277
p079,2024-03-02 22:33:00,3.79,-2.71,-243
p079,2024-04-26 15:50:00,10.74,-1.19,1148
p079,2024-05-19 23:58:00,10.6,3.37,1119
p079,2024-06-19 03:27:00,-2.26,-2.45,-1452
p079,2024-07-25 07:58:00,12.59,-4.16,1518
p079,2024-08-20 17:26:00,0.27,-3.11,-945
p079,2024-09-23 23:50:00,-4.86,0.78,-1971
p079,2024-10-04 16:00:00,2.68,1.55,-464
p079,2024-11-23 10:26:00,2.42,-3.93,-517
p079,2024-12-14 20:37:00,0.19,-2.39,-962
p080,2024-01-18 13:36:00,2.49,1.12,-503
p080,2024-02-22 12:48:00,-0.83,-0.87,-1166
p080,2024-03-26 17:30:00,-1.34,-1.3,-1268
p080,2024-04-18 15:16:00,1.28,0.78,-744
p080,2024-05-25 22:25:00,10.06,-3.62,1013
p080,2024-06-28 21:07:00,10.32,-2.7,1063
p080,2024-07-26 22:10:00,-2.95,-2.86,-1590
p080,2024-08-13 10:51:00,6.27,1.14,255
p080,2024-09-22 22:03:00,-1.71,-1.11,-1342
p080,2024-10-21 00:51:00,-3.13,3.23,-1627
p080,2024-11-16 19:27:00,-3.2,-4.36,-1639
p080,2024-12-08 11:05:00,7.47,-4.62,494
p081,2024-01-13 12:39:00,8.43,0.21,687
p081,2024-02-23 19:03:00,14.37,2.74,1873
p081,2024-03-06 20:31:00,3.99,-4.89,-202
p081,2024-04-28 21:59:00,11.46,0.18,1292
p081,2024-05-07 01:50:00,7.28,0.11,455
p081,2024-06-23 07:39:00,-1.53,1.74,-1306
p081,2024-07-12 07:41:00,-5.0,4.76,-1999
p081,2024-08-03 08:49:00,3.18,-1.47,-364
p081,2024-09-13 12:37:00,-0.9,0.18,-1180
p081,2024-10-24 22:04:00,13.82,-4.1,1764
p081,2024-11-10 23:53:00,6.45,4.15,290
p081,2024-12-12 11:52:00,0.66,-2.74,-868
p082,2024-01-07 14:59:00,3.27,0.75,-346
p082,2024-02-09 05:26:00,5.37,-3.94,73
p082,2024-03-03 16:18:00,1.96,4.47,-608
p082,2024-04-26 16:16:00,12.94,0.38,1588
p082,2024-05-26 18:16:00,9.21,-0.57,843
p082,2024-06-13 18:30:00,10.77,-2.57,1153
p082,2024-07-11 14:43:00,4.44,3.97,-113
p082,2024-08-28 00:30:00,-2.62,-2.42,-1524
p082,2024-09-13 20:50:00,-0.49,1.77,-1098
p082,2024-10-08 10:26:00,14.56,-1.47,1913
p082,2024-11-18 00:44:00,12.04,-2.37,1408
p082,2024-12-10 02:25:00,8.79,2.49,759
p083,2024-01-11 02:35:00,14.07,-3.22,1814
p083,2024-02-11 11:13:00,13.31,0.74,1663
p083,2024-03-06 23:43:00,14.05,4.1,1810
p083,2024-04-16 23:12:00,-0.2,2.35,-1039
p083,2024-05-28 08:13:00,-0.31,-2.97,-1062
p083,2024-06-08 19:22:00,-1.81,2.79,-1362
p083,2024-07-04 02:43:00,14.57,1.63,1914
p083,2024-08-20 00:48:00,12.55,0.41,1510
p083,2024-09-02 15:23:00,7.71,-1.85,542
p083,2024-10-19 08:31:00,-1.25,4.84,-1251
p083,2024-11-17 08:25:00,-0.46,2.5,-1091
p083,2024-12-05 01:33:00,11.37,-0.77,1273
p084,2024-01-18 01:32:00,2.11,-1.06,-578
p084,2024-02-22 05:29:00,15.0,-3.8,1999
p084,2024-03-17 14:20:00,9.12,-4.92,823
p084,2024-04-22 06:24:00,6.89,-3.99,379
p084,2024-05-12 19:55:00,0.31,-3.13,-937
p084,2024-06-09 07:17:00,4.65,4.59,-70
p084,2024-07-11 11:11:00,5.21,-0.76,42
p084,2024-08-14 22:48:00,2.62,-1.35,-476
p084,2024-09-13 08:28:00,-1.32,0.71,-1264
p084,2024-10-19 21:14:00,11.67,-4.0,1334
